orth	code	typ MWE (wszystko OK = poprawna grupa składniowa niebędąca ani nazwą własną, ani deskrypcją określoną)	intuicyjnie termin?	intuicyjnie MWLU? (wg testu Słowosieci)	komentarz	wyraz uwięziony / znaczenie uwięzione	termin (wg procedury Słowosieci)	parafraza (wg procedury Słowosieci)	decyzja (wg procedury Słowosieci i kolumn D, E, F)	czy typ strukturalny N+Adj
bardzo trudno	0.0	błąd - niewłaściwie rozpoznany typ strukturalny								
batalion saperów	1.0	wszystko OK	NIE	RACZEJ NIE						
baterie alkaliczne	1.0	wszystko OK	TAK	RACZEJ TAK	jest na wikipedii; alkaliczność chem. 					
baterie nabrzeżne	1.0	błąd - literówka			NADbrzeżna					
baterie umywalkowe	1.0	wszystko OK	NIE	NIE						
bazylice prymasowskiej	1.0	wszystko OK	NIE	RACZEJ NIE						
beczkowym wermutem	1.0	wszystko OK	TAK	RACZEJ TAK						
belgijski stoper	1.0	wszystko OK	NIE	NIE						
belkę skrętną	0.0	wszystko OK	TAK	RACZEJ TAK						
benzynę bezołowiową	1.0	wszystko OK	TAK	TAK						
bernikle obrożne	[0. 1.]	wszystko OK	TAK	TAK						
betlejemskiej grocie	[0. 1.]	wszystko OK	NIE	RACZEJ TAK	inaczej Grota Narodzenia, więc jednak termin					
bezczynności wierzyciela	1.0	wszystko OK	NIE	NIE						
bezkontaktowej koagulacji	1.0	wszystko OK	TAK	TAK						
bezołowiową cynę	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
bezprzewodowej łączności	0.0	wszystko OK	NIE	NIE						
białe prześcieradło	0.0	wszystko OK	NIE	NIE						
biopsji odciskowej	[0. 1.]	wszystko OK	TAK	TAK						
biseksualna punkówa	1.0	wszystko OK	NIE	NIE						
biurze zawodów	0.0	urwana fraza								
bluźnierczej dechrystianizacji	1.0	wszystko OK	NIE	NIE						
błoną pławną	[0. 1.]	wszystko OK	TAK	TAK						
błoną pływną	1.0	wszystko OK	TAK	TAK						
bojki dekompresyjnej	1.0	wszystko OK	NIE	NIE	potocznie o 'b. nurkowej'					
brama wjazdowa	[0. 1.]	wszystko OK	NIE	NIE						
broń maszynową	0.0	wszystko OK	NIE	NIE						
brudów łechczących	1.0	urwana fraza								
bruzdy międzymózgowej	0.0	wszystko OK	NIE	NIE	raczej bruzdy mózgu, przestrzeń międzymózgowa, zbyt potoczne					
bruździe podsutkowej	[0. 1.]	wszystko OK	TAK	TAK						
buddyjskiego klasztoru	1.0	wszystko OK	NIE	RACZEJ NIE						
bufet sałatkowy	1.0	wszystko OK	NIE	NIE						
buńczucznego zagrodowca	0.0	wszystko OK	NIE	NIE						
butli gazowej	1.0	wszystko OK	TAK	TAK						
butli tlenowej	1.0	wszystko OK	TAK	TAK						
casus belli	1.0	błąd - niepolska zbitka wyrazów		NIE						
cenzury prewencyjnej	1.0	wszystko OK	TAK	TAK						
certyfikat autentyczności	[0. 1.]	wszystko OK	NIE	NIE						
cesarstwa bizantyńskiego	0.0	wszystko OK	TAK	TAK						
cewki moczowej	1.0	wszystko OK	TAK	TAK						
chirurgii szczękowej	[0. 1.]	wszystko OK	TAK	TAK						
chłosta zbawienna	0.0	wszystko OK	NIE	NIE						
chuć swywolna	[0. 1.]	błąd - literówka			to nie literówka, a coś starszego, w każdym razie nie.					
ciąży wielopłodowej	1.0	wszystko OK	TAK	TAK						
ciemnej materii	0.0	wszystko OK	TAK	TAK						
ciężkie walki	0.0	wszystko OK	NIE	NIE						
comber jagnięcy	[0. 1.]	wszystko OK	NIE	NIE						
cyfra kontrolna	1.0	wszystko OK	TAK	TAK						
cyfry plus	1.0	urwana fraza								
dawnych czasach	0.0	wszystko OK	NIE	NIE						
diety proteinowej	1.0	wszystko OK	NIE	NIE						
dmuchanych dyfuzorów	0.0	wszystko OK	TAK	TAK						
dnia 09	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
dnia 20	0.0	błąd - niewłaściwie rozpoznany typ strukturalny								
dobrowolne poddanie	1.0	wszystko OK	NIE	NIE						
dokonywania potrąceń	0.0	wszystko OK	NIE	NIE						
doktryny katolickiej	0.0	wszystko OK	TAK	TAK						
drewna sosnowego	0.0	wszystko OK	TAK	TAK						
drobnej szlachty	0.0	wszystko OK	TAK	RACZEJ TAK						
drożną superskalarną	1.0	urwana fraza								
duże ryzyko	0.0	wszystko OK	NIE	NIE						
dwułukową skoliozę	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
dwunastoletni chłopiec	0.0	deskrypcja określona								
dwuuskokowych ościeżach	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
dysocjacji elektrolitycznej	1.0	wszystko OK	TAK	TAK						
dyspozytorka pogotowia	[0. 1.]	wszystko OK	NIE	NIE						
dyżurce pielęgniarskiej	1.0	wszystko OK	NIE	NIE						
dziesiątą rocznicę	0.0	wszystko OK	NIE	NIE						
dziewiąte miejsce	0.0	wszystko OK	NIE	NIE						
ekran pojemnościowy	0.0	wszystko OK	TAK	TAK						
elektroresekcji bipolarnej	1.0	wszystko OK	TAK	TAK						
eliptycznej orbicie	[0. 1.]	wszystko OK	TAK	TAK						
epidemii otyłości	0.0	wszystko OK	NIE	NIE						
erozji wąwozowej	1.0	wszystko OK	TAK	TAK						
erozji wgłębnej	1.0	wszystko OK	TAK	TAK						
erygowania parafii	[0. 1.]	wszystko OK	TAK	TAK						
facji dolinnej	1.0	wszystko OK	TAK	TAK						
fakturę proforma	[0. 1.]	błąd - niepolska zbitka wyrazów								
fizyki relatywistycznej	[0. 1.]	wszystko OK	TAK	TAK						
fokę obrączkowaną	1.0	wszystko OK	TAK	TAK						
fonemowi samogłoskowemu	1.0	wszystko OK	TAK	TAK						
fortów artyleryjskich	0.0	wszystko OK	NIE	NIE						
fourierowski falanster	[0. 1.]	deskrypcja określona								
fragment tekstu	0.0	wszystko OK	NIE	NIE						
funduszy strukturalnych	0.0	wszystko OK	NIE	NIE						
funkcjonariusza policji	1.0	wszystko OK	NIE	NIE						
furty klasztornej	1.0	wszystko OK	NIE	NIE						
galki ocznej	1.0	wszystko OK	NIE	NIE						
gęstniejącym mroku	0.0	wszystko OK	NIE	NIE						
głosie wstrzymującym	[0. 1.]	urwana fraza								
głośników średniotonowych	0.0	wszystko OK	NIE	NIE						
głupota tego	0.0	urwana fraza								
godzinach otwarcia	1.0	wszystko OK	NIE	NIE						
godzinie 10	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny								
godzinie 14	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
godzinie 7	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
godzinie 9	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
gorszej sytuacji	0.0	wszystko OK	NIE	NIE						
grocie betlejemskiej	1.0	nazwa własna								
grocie solnej	1.0	wszystko OK	NIE	NIE						
grona osób	0.0	wszystko OK	NIE	NIE						
gruczołów dokrewnych	1.0	wszystko OK	TAK	TAK						
gruczołów przytarczycznych	1.0	wszystko OK	TAK	TAK						
gruczołu sutkowego	1.0	wszystko OK	TAK	TAK						
gry symulacyjne	0.0	wszystko OK	NIE	NIE						
grzywny nałożonej	1.0	wszystko OK	NIE	NIE						
guzowatości piszczelowej	1.0	wszystko OK	TAK	TAK						
haploidalne zarodniki	0.0	wszystko OK	TAK	TAK						
harcerza orlego	0.0	wszystko OK	TAK	RACZEJ TAK						
harfie dziesięciostrunnej	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
heksogen flegmatyzowany	1.0	wszystko OK	TAK	TAK						
herb rodowy	[0. 1.]	wszystko OK	NIE	NIE						
hien cętkowanych	[0. 1.]	wszystko OK	TAK							
hiszpańskich konkwistadorów	[0. 1.]	wszystko OK	TAK	NIE WIEM	trochę pleonastyczne.					
hiszpańskiego klubu	[0. 1.]	wszystko OK	NIE	NIE						
honorowym członkiem	1.0	wszystko OK	NIE	NIE						
hydrolizy enzymatycznej	1.0	wszystko OK	TAK	RACZEJ TAK						
inny sprzęt	0.0	urwana fraza								
instytucji szkoleniowych	0.0	wszystko OK	NIE	NIE						
intensywne kolory	0.0	wszystko OK	NIE	NIE						
interglacjał pona	1.0	urwana fraza								
izolacji przeciwwilgociowej	0.0	wszystko OK	NIE	NIE						
jagnięcemu comberowi	[0. 1.]	wszystko OK	NIE	NIE						
jazdę próbną	0.0	wszystko OK	NIE	NIE						
jądra galaktyki	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
jestem gruba	0.0	błąd - niewłaściwie rozpoznany typ strukturalny								
jęczącą ślamazarę	[0. 1.]	wszystko OK	NIE	NIE						
kalendarzu liturgicznym	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
kamieniarstwie nagrobkowym	0.0	wszystko OK	NIE	NIE						
kamiennym cokole	0.0	wszystko OK	NIE	NIE						
kanale usznym	[0. 1.]	wszystko OK	NIE	NIE						
kanalizacji opadowej	1.0	wszystko OK	NIE	NIE						
kanalizacji opaskowej	[0. 1.]	wszystko OK	NIE	NIE	raczej drenaż opaskowy					
kapitału akcyjnego	1.0	wszystko OK	TAK	RACZEJ TAK						
karcie gwarancyjnej	0.0	wszystko OK	NIE	NIE						
kardiomiopatii cukrzycowej	1.0	wszystko OK	TAK	TAK						
karty dźwiękowej	0.0	wszystko OK	NIE	NIE						
kasata klasztoru	[0. 1.]	wszystko OK	TAK	TAK						
kawalkada nomadzka	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
kąt natarcia	0.0	wszystko OK	TAK	TAK						
kenozoiczny orogen	[0. 1.]	wszystko OK	TAK	TAK						
kissingera brzezinskiego	1.0	urwana fraza								
klapie bagażnika	1.0	wszystko OK	NIE	NIE						
klar glassy	[0. 1.]	nazwa własna								
klasie pośredniej	[0. 1.]	wszystko OK	TAK	RACZEJ TAK	wystawy psów 					
klasztor bazylianów	1.0	wszystko OK	NIE	RACZEJ NIE						
klasztor cysterek	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
klasztor dominikański	1.0	wszystko OK	NIE	RACZEJ NIE						
klasztornej furty	1.0	wszystko OK	NIE	NIE						
klasztorów klauzurowych	[0. 1.]	wszystko OK	NIE	RACZEJ NIE	zakon					
klasztoru dominikanów	1.0	wszystko OK	NIE	RACZEJ NIE						
klasztoru franciszkańskiego	1.0	wszystko OK	NIE	RACZEJ NIE						
klasztoru jasnogórskiego	1.0	deskrypcja określona								
klasztorze mogileńskim	1.0	deskrypcja określona								
klauzulę odkupu	1.0	wszystko OK	NIE	NIE						
klauzuli prolongacyjnej	[0. 1.]	wszystko OK	NIE	NIE						
klimacie tropikalnym	0.0	wszystko OK	NIE	NIE						
koadiutora archidiakonii	1.0	wszystko OK	TAK	TAK						
kochany tatuś	0.0	wszystko OK	NIE	NIE						
kod.po 182	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
kodyfikacji justyniańskiej	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
kolorze srebra	0.0	wszystko OK	NIE	NIE						
kolorze tapicerki	0.0	wszystko OK	NIE	NIE						
komora hibernacyjna	[0. 1.]	wszystko OK	NIE	NIE						
komory kriogenicznej	1.0	wszystko OK	TAK	TAK						
komorze hiperbarycznej	1.0	wszystko OK	TAK	TAK						
kompletnym idiotą	0.0	wszystko OK	NIE	NIE						
komunikacie prasowym	0.0	wszystko OK	NIE	NIE						
konferencji uczestniczyli	0.0	błąd - niewłaściwie rozpoznany typ strukturalny								
konfiturą morelową	1.0	wszystko OK	NIE	NIE						
konsekracji kościoła	1.0	wszystko OK	TAK	RACZEJ TAK						
konspiracja antysowiecka	[0. 1.]	wszystko OK	NIE	NIE						
kontemplacyjną afirmację	1.0	wszystko OK	TAK	RACZEJ TAK						
kopolimerem butadienu	1.0	wszystko OK	TAK	TAK						
kora przedczołowa	1.0	wszystko OK	TAK	TAK						
korba markizowa	1.0	wszystko OK	TAK	NIE WIEM						
korona lufy	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
korpusu dyplomatycznego	1.0	wszystko OK	TAK	TAK						
koryncki peripteros	1.0	wszystko OK	TAK	TAK						
kosza zasypowego	[0. 1.]	wszystko OK	NIE	NIE						
koszty prowadzenia	0.0	urwana fraza								
kości jarzmowej	1.0	wszystko OK	TAK	TAK						
kości kulszowej	1.0	wszystko OK	TAK	TAK						
kości skroniowej	1.0	wszystko OK	TAK	TAK						
kości udowej	[0. 1.]	wszystko OK	TAK	TAK						
kościołów protestanckich	[0. 1.]	wszystko OK	NIE	NIE						
kozioroga bukowca	1.0	wszystko OK	TAK	TAK						
kra kra	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
krewniackie dziadówki	0.0	wszystko OK	NIE	NIE	Reymont					
krótszym boku	0.0	wszystko OK	NIE	NIE						
krzyżówki międzygatunkowe	0.0	wszystko OK	NIE	NIE						
księża salezjanie	[0. 1.]	wszystko OK	NIE	NIE						
kwasu cytrynowego	[0. 1.]	wszystko OK	TAK	TAK						
kwaśnej buczyny	[0. 1.]	wszystko OK	TAK	TAK						
lakowa pieczęć	1.0	wszystko OK	NIE	NIE						
latach małżeństwa	0.0	wszystko OK	NIE	NIE						
lechie.widok zomo	1.0	błąd - niegramatyczna fraza								
legalizacji eutanazji	1.0	wszystko OK	NIE	NIE						
legat zahipotekowany	1.0	wszystko OK	TAK	TAK						
lekarz ortopeda	0.0	wszystko OK	NIE	NIE						
licytacji komorniczej	1.0	wszystko OK	TAK	RACZEJ TAK						
liczb wymiernych	0.0	wszystko OK	TAK	TAK						
licznej rodziny	0.0	wszystko OK	NIE	NIE						
lingua franca	1.0	błąd - niepolska zbitka wyrazów								
linii sortowniczej	0.0	wszystko OK	NIE	NIE						
lotu suborbitalnego	[0. 1.]	wszystko OK	TAK	TAK						
loży masońskiej	[0. 1.]	wszystko OK	NIE	NIE						
ludności prawosławnej	0.0	wszystko OK	NIE	NIE						
luku bagażowego	1.0	wszystko OK	NIE	NIE						
macicy perłowej	1.0	wszystko OK	TAK	TAK						
madryckiego zespołu	[0. 1.]	deskrypcja określona								
magnezjową draskę	1.0	wszystko OK	NIE	NIE						
malawska kwacza	[0. 1.]	wszystko OK	NIE	NIE WIEM						
małej retencji	0.0	wszystko OK	NIE	RACZEJ NIE						
małomiasteczkowych warcian	[0. 1.]	wszystko OK	NIE	NIE						
małych rączek	0.0	wszystko OK	NIE	NIE						
małżowin nosowych	1.0	wszystko OK	TAK	TAK						
małżowiny usznej	1.0	wszystko OK	TAK	TAK						
masażystka głuchoniewidoma	0.0	wszystko OK	NIE	NIE						
masy solnej	1.0	wszystko OK	NIE	NIE						
maszyn rolniczych	0.0	wszystko OK	NIE	NIE						
membrany biernej	1.0	wszystko OK	TAK	RACZEJ TAK						
metalowych kulek	0.0	wszystko OK	NIE	NIE						
metryką euklidesową	1.0	wszystko OK	TAK	TAK						
mielinowy neuryt	[0. 1.]	wszystko OK	TAK	TAK						
miękiszu korowego	0.0	wszystko OK	TAK	TAK						
milionów osób	0.0	wszystko OK	NIE	NIE						
minionej epoki	0.0	wszystko OK	NIE	NIE						
młodzieży gimnazjalnej	0.0	wszystko OK	NIE	NIE						
mocy obliczeniowej	0.0	wszystko OK	TAK	RACZEJ TAK						
mokrego dyngusa	[0. 1.]	wszystko OK	NIE	NIE						
muf suportowych	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
murowaną kaplicę	1.0	wszystko OK	NIE	NIE						
muszli klozetowej	1.0	wszystko OK	NIE	NIE						
naciśnięciu przycisku	1.0	wszystko OK	NIE	NIE						
naciśnięty klawisz	1.0	wszystko OK	NIE	NIE						
nadkwasocie żołądka	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
nadpłytkowość samoistną	[0. 1.]	wszystko OK	TAK	TAK						
nagłosie samogłoskowym	1.0	wszystko OK	TAK	TAK						
najechaniu kursorem	1.0	wszystko OK	NIE	NIE						
naparstnicy purpurowej	1.0	wszystko OK	TAK	TAK						
narzędzie umożliwiające	0.0	urwana fraza								
naszej kulturze	0.0	urwana fraza								
naturalnym środowisku	0.0	wszystko OK	NIE	NIE						
nawrót fotofazy	0.0	urwana fraza								
neorokokowa waza	1.0	wszystko OK	NIE	NIE						
nerwu kulszowego	1.0	wszystko OK	TAK	TAK						
neuralgii międzyżebrowej	1.0	wszystko OK	TAK	TAK						
neuroplastyczności synaptycznej	1.0	wszystko OK	TAK	TAK						
niemieckiego okupanta	1.0	wszystko OK	NIE	NIE						
nieomylności papieskiej	1.0	wszystko OK	NIE	NIE						
nieposzlakowanej opinii	[0. 1.]	wszystko OK	NIE	NIE						
nieżyt żołądka	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
nomu dolnoegipskiego	1.0	wszystko OK	TAK	TAK						
nonparel petit	1.0	błąd - niepolska zbitka wyrazów								
nowoczesnych urządzeń	0.0	wszystko OK	NIE	NIE						
nulla salus	1.0	błąd - niepolska zbitka wyrazów								
obciążoną hipotekę	1.0	wszystko OK	NIE	NIE						
obiad dwudaniowy	1.0	wszystko OK	NIE	NIE						
obrządku rzymskokatolickim	1.0	wszystko OK	NIE	RACZEJ NIE						
obwodzie homelskim	1.0	wszystko OK	TAK	RACZEJ TAK						
obywatelstwo niemieckie	1.0	wszystko OK	NIE	NIE						
ochroną gatunkową	0.0	wszystko OK	TAK	TAK						
ocieplanej budzie	1.0	wszystko OK	NIE	NIE						
odbytego szkolenia	0.0	wszystko OK	NIE	NIE						
oddziału przedszkolnego	0.0	wszystko OK	NIE	NIE						
odłowione bobry	0.0	wszystko OK	NIE	NIE						
odstępczych krolach	[0. 1.]	błąd - literówka								
ogrzewania grzejnikowego	0.0	wszystko OK	NIE	NIE						
ojcem chrzestnym	1.0	wszystko OK	NIE	NIE						
ojcem duchownym	[0. 1.]	wszystko OK	NIE	NIE						
okresie letnim	0.0	wszystko OK	NIE	NIE						
okrywy włosowej	[0. 1.]	wszystko OK	NIE	RACZEJ NIE						
oksydaza moczanowa	1.0	wszystko OK	TAK	TAK						
oksydazę monoaminową	1.0	wszystko OK	TAK	TAK						
oksydazę ponadtlenkową	1.0	wszystko OK	TAK	TAK						
online.org/szybkie.pozyczki.chwilowk i.ht	0.0	błąd - niegramatyczna fraza								
opactwo benedyktyńskie	[0. 1.]	wszystko OK	NIE	NIE						
opadniętą szczęką	1.0	wszystko OK	NIE	NIE						
oparzelizny powierzchniowej	1.0	wszystko OK	TAK	TAK						
opłat ponoszonych	[0. 1.]	urwana fraza								
opłatę recyklingową	1.0	wszystko OK	NIE	NIE						
opłaty adiacenckiej	1.0	wszystko OK	TAK	RACZEJ TAK						
opłaty komornicze	1.0	wszystko OK	NIE	NIE						
opłaty legalizacyjnej	1.0	wszystko OK	NIE	NIE						
opłaty produktowej	1.0	wszystko OK	NIE	NIE						
opłaty wyrównawczej	1.0	wszystko OK	NIE	NIE						
orbicie eliptycznej	[0. 1.]	wszystko OK	TAK	TAK						
orbicie okołoziemskiej	1.0	wszystko OK	TAK	TAK						
organ ewidencyjny	0.0	wszystko OK	NIE	NIE						
ortognatycznym dwuszczękowym	[0. 1.]	urwana fraza			zabieg chirurgiczny, operacja?					
osłona lufy	1.0	wszystko OK	NIE	NIE						
osobnych klatkach	0.0	wszystko OK	NIE	NIE						
osób zamieszkałych	0.0	urwana fraza								
ostatecznym celem	0.0	wszystko OK	NIE	NIE						
oślepiającym śnieżycom	0.0	wszystko OK	NIE	NIE						
owczarek szetlandzki	1.0	wszystko OK	TAK	TAK						
owczarka belgijskiego	1.0	wszystko OK	TAK	TAK						
pagórkowaty teren	0.0	wszystko OK	NIE	NIE						
paleta kolorystyczna	0.0	wszystko OK	NIE	NIE						
papierze barytowym	[0. 1.]	wszystko OK	NIE	NIE						
parafii ewangelickiej	1.0	wszystko OK	NIE	NIE						
parafii farnej	1.0	wszystko OK	NIE	NIE						
paralaksy geocentrycznej	1.0	wszystko OK	TAK	TAK						
paralaksy heliocentrycznej	1.0	wszystko OK	TAK	TAK						
parogodzinnym błąkaniu	1.0	wszystko OK	NIE	NIE						
parowozowni wachlarzowej	1.0	wszystko OK	NIE	RACZEJ NIE						
parugodzinnym szperaniu	[0. 1.]	wszystko OK	NIE	NIE						
pasku zadań	0.0	wszystko OK	NIE	NIE						
pasty wybielające	0.0	wszystko OK	NIE	NIE						
pawer sand	1.0	błąd - literówka			i niepolska zbitka					
perpetua probat	1.0	błąd - niepolska zbitka wyrazów								
piaszczyste wydmy	0.0	wszystko OK	NIE	NIE						
piecem dwuobiegowym	0.0	wszystko OK	NIE	NIE						
piechotę wybraniecką	1.0	wszystko OK	TAK	TAK						
piechoty zmotoryzowanej	[0. 1.]	wszystko OK	NIE	NIE						
pieczęci urzędowej	1.0	wszystko OK	NIE	NIE						
piemonckiego obłąkańca	1.0	wszystko OK	NIE	NIE						
pieprz betelowy	1.0	wszystko OK	TAK	RACZEJ TAK						
pierwotnych mieszkańców	0.0	wszystko OK	NIE	NIE						
pierwszego zespołu	1.0	wszystko OK	NIE	NIE						
pierwszej ciąży	1.0	wszystko OK	NIE	NIE						
pierwszej części	1.0	wszystko OK	NIE	NIE						
pierwszy oficjalnie	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny								
pisemnej gwarancji	0.0	wszystko OK	NIE	NIE						
plastyczności synaptycznej	[0. 1.]	wszystko OK	NIE	NIE						
płacenie rachunków	0.0	wszystko OK	NIE	NIE						
płaskiej podeszwie	[0. 1.]	wszystko OK	NIE	NIE						
płaszczem wodnym	1.0	wszystko OK	TAK	RACZEJ TAK						
płaszczyźnie astralnej	1.0	wszystko OK	NIE	NIE						
płowozłotą okrywą	1.0	wszystko OK	NIE	NIE						
pochodzenia żydowskiego	[0. 1.]	wszystko OK	NIE	NIE						
podatku akcyzowego	[0. 1.]	wszystko OK	TAK	TAK						
podbudowie tłuczniowej	1.0	wszystko OK	NIE	NIE						
podpieczony spód	1.0	wszystko OK	NIE	NIE						
podpionową termostatyczną	[0. 1.]	urwana fraza								
podporządkowaniami różniczkowymi	1.0	wszystko OK	NIE	NIE						
podsadzką hydrauliczną	1.0	wszystko OK	TAK	TAK						
podstawie porozumienia	0.0	wszystko OK	NIE	NIE						
podstawowym profilem	0.0	wszystko OK	NIE	NIE						
podworkowy szowinizm	1.0	błąd - literówka								
podwyższoną prolaktynę	1.0	wszystko OK	NIE	NIE						
polichlorek dwufenylu	0.0	wszystko OK	TAK	TAK						
poranną toaletę	1.0	wszystko OK	NIE	NIE						
posokowce bawarskie	1.0	wszystko OK	TAK	TAK	rasa psa!					
postępującej eutrofizacji	0.0	wszystko OK	NIE	NIE						
poszerszeniały perszeron	[0. 1.]	wszystko OK	NIE	NIE						
powięzi wewnątrzmiednicznej	1.0	wszystko OK	TAK	TAK						
poznania prawdy	0.0	wszystko OK	NIE	NIE						
pozytywne zaskoczenie	0.0	wszystko OK	NIE	NIE						
półmaską dwufiltrową	1.0	wszystko OK	NIE	NIE						
północnego bieguna	1.0	wszystko OK	TAK	TAK	powinny być wielkie litery i inna kolejność przydawki					
północno kalifornijski	[0. 1.]	urwana fraza								
północnym skraju	[0. 1.]	urwana fraza								
półprzepuszczalnej błonie	1.0	wszystko OK	NIE	NIE						
późnogotycki krucyfiks	1.0	wszystko OK	NIE	NIE						
praktykującą katoliczką	1.0	wszystko OK	NIE	NIE						
prawie magdeburskim	1.0	wszystko OK	TAK	TAK						
prawo pierwokupu	1.0	wszystko OK	TAK	TAK						
prehibernacji przedzimowej	1.0	wszystko OK	TAK	RACZEJ TAK						
prędkości obrotowej	0.0	wszystko OK	TAK	TAK						
procesów metabolicznych	0.0	wszystko OK	NIE	RACZEJ NIE						
pryśnięciu strużką	[0. 1.]	wszystko OK	NIE	NIE						
przedterminowe zwolnienie	0.0	wszystko OK	NIE	NIE						
przeor klasztoru	1.0	wszystko OK	TAK	TAK						
przepływ cewkowy	0.0	wszystko OK	TAK	TAK						
przesiąkłe pugilaresy	1.0	wszystko OK	NIE	NIE						
przesięk opłucnowy	1.0	wszystko OK	TAK	TAK						
przesrana placzka	[0. 1.]	błąd - literówka								
przetaczania krwi	[0. 1.]	wszystko OK	TAK	TAK						
przezierność karkowa	1.0	wszystko OK	TAK	TAK						
przyczynowości kumulatywnej	[0. 1.]	wszystko OK	TAK	RACZEJ TAK	prawo?					
przymkniętej przysłonie	1.0	wszystko OK	NIE	NIE						
przymrużonych powiek	[0. 1.]	wszystko OK	NIE	NIE						
przysadki mózgowej	1.0	wszystko OK	TAK	TAK						
przysłonie dwuotworowej	1.0	wszystko OK	TAK	TAK						
przyspieszenie grawitacyjne	0.0	wszystko OK	TAK	TAK						
publiczność zgodnie	1.0	urwana fraza								
pucharowy mecz	0.0	wszystko OK	NIE	NIE						
pułapek feromonowych	1.0	wszystko OK	NIE	NIE						
pułapkę ofsajdową	1.0	wszystko OK	NIE	NIE						
punktem zwrotnym	[0. 1.]	wszystko OK	NIE	NIE						
purée gruszkowego	1.0	wszystko OK	NIE	NIE						
purée kalafiorowe	1.0	wszystko OK	NIE	NIE						
purpurowej kamionki	[0. 1.]	wszystko OK	NIE	NIE						
pyłu wulkanicznego	[0. 1.]	wszystko OK	TAK	TAK						
rabelaisowską rubasznością	1.0	wszystko OK	NIE	NIE						
rachunkowości zarządczej	1.0	wszystko OK	NIE	NIE						
raka trzustki	0.0	wszystko OK	TAK	RACZEJ TAK						
raka żołądka	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
raz setny	1.0	błąd - niewłaściwie rozpoznany typ strukturalny								
reakcją egzotermiczną	1.0	wszystko OK	TAK	TAK						
retrakcji skrzepu	1.0	wszystko OK	TAK	TAK						
rezerwowy kierowca	0.0	wszystko OK	NIE	NIE						
rezonansu paramagnetycznego	1.0	wszystko OK	TAK	TAK						
rezonatora kwarcowego	1.0	wszystko OK	TAK	TAK						
roku 1970	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny								
roku 1979	[0. 1.]	błąd - niewłaściwie rozpoznany typ strukturalny								
rozkapryszony dzieciak	0.0	wszystko OK	NIE	NIE						
rozmnażania wegetatywnego	0.0	wszystko OK	TAK	TAK						
rozstrój żołądka	[0. 1.]	wszystko OK	NIE	NIE						
rozweselenia biadającej	0.0	wszystko OK	NIE	NIE						
rozwoju choroby	0.0	wszystko OK	NIE	NIE						
równań różniczkowych	0.0	wszystko OK	TAK	TAK						
różowego kwarcu	[0. 1.]	wszystko OK	TAK	TAK						
ruchu bezwizowego	[0. 1.]	wszystko OK	NIE	NIE						
rury podsiodłowej	[0. 1.]	wszystko OK	TAK	NIE WIEM						
rygla elektromagnetycznego	1.0	wszystko OK	TAK	RACZEJ TAK						
saksofonową frenezję	[0. 1.]	wszystko OK	NIE	NIE	metafora, doraźne użycie					
salamander bezpłucnych	1.0	wszystko OK	TAK	TAK						
saletry potasowej	1.0	wszystko OK	TAK	TAK						
salwa honorowa	1.0	wszystko OK	NIE	NIE						
sałatce jarzynowej	1.0	wszystko OK	NIE	NIE						
satrapa upasiony	[0. 1.]	wszystko OK	NIE	NIE	sam satrapa raczej termin					
sauna parowa	1.0	wszystko OK	TAK	RACZEJ TAK						
sauna sucha	[0. 1.]	wszystko OK	TAK	RACZEJ TAK						
separacja galwaniczna	1.0	wszystko OK	TAK	TAK						
serwet obrusowych	[0. 1.]	wszystko OK	NIE	NIE						
sex appeal	1.0	błąd - niepolska zbitka wyrazów								
sex oralny	1.0	błąd - niepolska zbitka wyrazów								
sfilcowanej wełny	[0. 1.]	wszystko OK	NIE	NIE						
siarczku kadmu	0.0	wszystko OK	TAK	TAK						
sieweczki obrożnej	[0. 1.]	wszystko OK	TAK	TAK						
skoliozą dwułukową	1.0	wszystko OK	TAK	TAK						
skrajniku dziobowym	1.0	wszystko OK	TAK	TAK						
skręt żołądka	[0. 1.]	wszystko OK	NIE	NIE						
